Id,Name,Institution,Origin,Coordinates,Material,Number of folios,Height mm,Width mm,Area mm^2,Total Lines (#Folios x Columns per Page x Lines per Column x 2),Leaves per gathering,Lines per column,Number of illustrations,Date start,Date end,Date Delta,Columns per folio,Texts,Folios with 1 illustration,Folios with More than 1 illustration
Ferrell,Ferrell Rose,"private collection, in LA",France,,parchment,136,285,210,59850,22848,8,42,39,1400,1500,100,2,1,36,0
Francais12587,Francais 12587,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,103,280,195,54600,17304,,42,70,1300,1400,100,2,1,,
Francais12588,Francais 12588,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,139,275,178,48950,22240,,40,20,1300,1400,100,2,1,15,2
Francais12589,Francais 12589,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,169,292,201,58692,21632,,32,13,1300,1325,25,2,1,,
Francais12590,Francais 12590,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,146,320,230,73600,23360,,40,0,1400,1500,100,2,1,,
Francais12591,Francais 12591,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,142,276,207,57132,20448,,36,0,1400,1500,100,2,1,,
Francais12592,Francais 12592,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,64,308,246,75768,23040,,60,0,1375,1400,25,3,1,,
Francais12593,Francais 12593,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,158,305,210,64050,22752,,36,35,1300,1400,100,2,3,,
Francais12594,Francais 12594,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,131,286,203,58058,22008,,42,0,1300,1400,100,2,5,,
Francais12595,Francais 12595,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,157,323,235,75905,23236,8,37,80,1400,1500,100,2,3,69,6
Francais12596,Francais 12596,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,168,285,225,64125,23520,,35,54,1400,1500,100,2,4,,
Francais12786,Francais 12786,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,33,279,250,69750,4620,,35,0,1200,1300,100,2,13,,
Francais1462,Francais 1462,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,285,,,0,18240,,32,0,1400,1500,100,1,1,,
Francais15109,Francais 15109,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,120,250,190,47500,15840,,33,0,1300,1400,100,2,1,,
Francais1558,Francais 1558,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,165,300,205,61500,22440,,34,23,1300,1400,100,2,1,19,2
Francais1559,Francais 1559,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,177,285,204,58140,22656,,32,21,1200,1300,100,2,1,17,2
Francais1560,Francais 1560,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,143,285,196,55860,22880,,40,35,1300,1400,100,2,1,,
Francais1561,Francais 1561,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,127,268,180,48240,21336,,42,23,1300,1350,50,2,1,,
Francais1562,Francais 1562,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",paper,130,300,235,70500,19760,,38,0,1400,1500,100,2,1,,
Francais1563,Francais 1563,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,222,,,0,33744,,38,116,1400,1500,100,2,1,,
Francais1564,Francais 1564,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,90,253,167,42251,22680,,63,25,1300,1350,50,2,1,,
Francais1565,Francais 1565,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,142,302,226,68252,22720,,40,44,1300,1400,100,2,2,,
Francais1566,Francais 1566,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,130,289,210,60690,21840,,42,3,1300,1400,100,2,1,3,0
Francais1567,Francais 1567,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,148,283,209,59147,21312,,36,79,1300,1400,100,2,2,,
Francais1568,Francais 1568,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,126,300,201,60300,22176,,44,0,1300,1400,100,2,2,,
Francais1569,Francais 1569,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,139,272,188,51136,22240,,40,26,1200,1300,100,2,2,16,5
Francais1570,Francais 1570,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,171,285,210,59850,23256,,34,79,1400,1500,100,2,1,,
